AREA,AGE_ADJUSTED_RATE,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_RATE
Mississippi,19,Incidence,845887,Non-Hispanic White,Male,Oral Cavity and Pharynx,2015,24.9
Mississippi,25.3,Incidence,843070,Non-Hispanic White,Male,Oral Cavity and Pharynx,2016,33.2
Mississippi,25.3,Incidence,840672,Non-Hispanic White,Male,Oral Cavity and Pharynx,2017,33.4
Mississippi,18.9,Incidence,835669,Non-Hispanic White,Male,Oral Cavity and Pharynx,2018,26.4
Mississippi,21.5,Incidence,832333,Non-Hispanic White,Male,Oral Cavity and Pharynx,2019,29.3
Mississippi,21.7,Incidence,826996,Non-Hispanic White,Male,Oral Cavity and Pharynx,2020,29.4
Missouri,19.1,Incidence,2413870,Non-Hispanic White,Male,Oral Cavity and Pharynx,2011,23.3
Missouri,19,Incidence,2415296,Non-Hispanic White,Male,Oral Cavity and Pharynx,2012,23.2
Missouri,19.2,Incidence,2417896,Non-Hispanic White,Male,Oral Cavity and Pharynx,2013,23.7
Missouri,20.7,Incidence,2419088,Non-Hispanic White,Male,Oral Cavity and Pharynx,2014,26.4
Missouri,19.5,Incidence,2420206,Non-Hispanic White,Male,Oral Cavity and Pharynx,2015,24.8
Missouri,20.5,Incidence,2421849,Non-Hispanic White,Male,Oral Cavity and Pharynx,2016,26.5
Missouri,22.5,Incidence,2423984,Non-Hispanic White,Male,Oral Cavity and Pharynx,2017,29.6
Missouri,20.7,Incidence,2424066,Non-Hispanic White,Male,Oral Cavity and Pharynx,2018,27.1
Missouri,20.3,Incidence,2423079,Non-Hispanic White,Male,Oral Cavity and Pharynx,2019,26.8
Missouri,21.7,Incidence,2422725,Non-Hispanic White,Male,Oral Cavity and Pharynx,2020,29.1
Montana,14.3,Incidence,444973,Non-Hispanic White,Male,Oral Cavity and Pharynx,2011,18.9
Montana,14.5,Incidence,447010,Non-Hispanic White,Male,Oral Cavity and Pharynx,2012,19.2
Montana,15.8,Incidence,450483,Non-Hispanic White,Male,Oral Cavity and Pharynx,2013,21.8
Montana,17.9,Incidence,453554,Non-Hispanic White,Male,Oral Cavity and Pharynx,2014,23.4
Montana,16.9,Incidence,457031,Non-Hispanic White,Male,Oral Cavity and Pharynx,2015,23
Montana,16.1,Incidence,461056,Non-Hispanic White,Male,Oral Cavity and Pharynx,2016,23
Montana,20.9,Incidence,464944,Non-Hispanic White,Male,Oral Cavity and Pharynx,2017,27.1
Montana,18.9,Incidence,467940,Non-Hispanic White,Male,Oral Cavity and Pharynx,2018,27.6
Montana,14,Incidence,471122,Non-Hispanic White,Male,Oral Cavity and Pharynx,2019,19.7
Montana,16.9,Incidence,475215,Non-Hispanic White,Male,Oral Cavity and Pharynx,2020,23.4
Nebraska,18.6,Incidence,749265,Non-Hispanic White,Male,Oral Cavity and Pharynx,2011,21.5
Nebraska,14,Incidence,751610,Non-Hispanic White,Male,Oral Cavity and Pharynx,2012,17.2
Nebraska,18.5,Incidence,753859,Non-Hispanic White,Male,Oral Cavity and Pharynx,2013,21.9
Nebraska,19.1,Incidence,755925,Non-Hispanic White,Male,Oral Cavity and Pharynx,2014,23.7
Nebraska,18.1,Incidence,757569,Non-Hispanic White,Male,Oral Cavity and Pharynx,2015,22.3
Nebraska,20.8,Incidence,758868,Non-Hispanic White,Male,Oral Cavity and Pharynx,2016,25.6
Nebraska,21.1,Incidence,759178,Non-Hispanic White,Male,Oral Cavity and Pharynx,2017,27
Nebraska,20.2,Incidence,758485,Non-Hispanic White,Male,Oral Cavity and Pharynx,2018,26.4
Nebraska,17.9,Incidence,758235,Non-Hispanic White,Male,Oral Cavity and Pharynx,2019,23.6
Nebraska,18,Incidence,757498,Non-Hispanic White,Male,Oral Cavity and Pharynx,2020,23.5
Nevada,19.3,Incidence,758885,Non-Hispanic White,Male,Oral Cavity and Pharynx,2011,27.3
Nevada,16.6,Incidence,759442,Non-Hispanic White,Male,Oral Cavity and Pharynx,2012,24
Nevada,17.4,Incidence,759864,Non-Hispanic White,Male,Oral Cavity and Pharynx,2013,25.1
Nevada,18.4,Incidence,762827,Non-Hispanic White,Male,Oral Cavity and Pharynx,2014,27.5
Nevada,18.8,Incidence,765235,Non-Hispanic White,Male,Oral Cavity and Pharynx,2015,28.1
Nevada,19.5,Incidence,768196,Non-Hispanic White,Male,Oral Cavity and Pharynx,2016,28.9
Nevada,20.2,Incidence,770934,Non-Hispanic White,Male,Oral Cavity and Pharynx,2017,30.9
Nevada,19.1,Incidence,777237,Non-Hispanic White,Male,Oral Cavity and Pharynx,2018,31
Nevada,17.1,Incidence,782811,Non-Hispanic White,Male,Oral Cavity and Pharynx,2019,27.8
New Hampshire,18.7,Incidence,604729,Non-Hispanic White,Male,Oral Cavity and Pharynx,2011,23.5
New Hampshire,16.7,Incidence,604688,Non-Hispanic White,Male,Oral Cavity and Pharynx,2012,22
New Hampshire,17.9,Incidence,604541,Non-Hispanic White,Male,Oral Cavity and Pharynx,2013,23
New Hampshire,18.5,Incidence,606696,Non-Hispanic White,Male,Oral Cavity and Pharynx,2014,24.9
New Hampshire,18.2,Incidence,606534,Non-Hispanic White,Male,Oral Cavity and Pharynx,2015,24.9
New Hampshire,19.9,Incidence,607248,Non-Hispanic White,Male,Oral Cavity and Pharynx,2016,27.3
New Hampshire,18.4,Incidence,608293,Non-Hispanic White,Male,Oral Cavity and Pharynx,2017,25.3
New Hampshire,17.5,Incidence,608856,Non-Hispanic White,Male,Oral Cavity and Pharynx,2018,25.8
New Hampshire,18.5,Incidence,609041,Non-Hispanic White,Male,Oral Cavity and Pharynx,2019,27.6
New Hampshire,19.4,Incidence,610219,Non-Hispanic White,Male,Oral Cavity and Pharynx,2020,28.8
Mississippi,2.1,Mortality,1531631,All Races,Female,Oral Cavity and Pharynx,2011,2.5
Mississippi,1.8,Mortality,1534497,All Races,Female,Oral Cavity and Pharynx,2012,2
Mississippi,1.8,Mortality,1536846,All Races,Female,Oral Cavity and Pharynx,2013,2.2
Mississippi,1.1,Mortality,1538890,All Races,Female,Oral Cavity and Pharynx,2014,1.5
Mississippi,1.2,Mortality,1539560,All Races,Female,Oral Cavity and Pharynx,2015,1.6
Mississippi,1.7,Mortality,1540132,All Races,Female,Oral Cavity and Pharynx,2016,2.2
Mississippi,1.5,Mortality,1539672,All Races,Female,Oral Cavity and Pharynx,2017,1.9
Mississippi,1.2,Mortality,1536005,All Races,Female,Oral Cavity and Pharynx,2018,1.6
Mississippi,1.3,Mortality,1534587,All Races,Female,Oral Cavity and Pharynx,2019,1.8
Mississippi,1.7,Mortality,1530971,All Races,Female,Oral Cavity and Pharynx,2020,2.3
Missouri,1.3,Mortality,3065745,All Races,Female,Oral Cavity and Pharynx,2011,1.6
Missouri,1.5,Mortality,3072496,All Races,Female,Oral Cavity and Pharynx,2012,2.1
Missouri,1.3,Mortality,3079277,All Races,Female,Oral Cavity and Pharynx,2013,1.7
Missouri,1.2,Mortality,3086784,All Races,Female,Oral Cavity and Pharynx,2014,1.7
Missouri,1.3,Mortality,3094077,All Races,Female,Oral Cavity and Pharynx,2015,1.8
Missouri,1.7,Mortality,3101501,All Races,Female,Oral Cavity and Pharynx,2016,2.2
Missouri,1.6,Mortality,3111381,All Races,Female,Oral Cavity and Pharynx,2017,2.3
Missouri,1.8,Mortality,3119006,All Races,Female,Oral Cavity and Pharynx,2018,2.6
Missouri,1.7,Mortality,3127846,All Races,Female,Oral Cavity and Pharynx,2019,2.4
Missouri,1.1,Mortality,3133825,All Races,Female,Oral Cavity and Pharynx,2020,1.6
Montana,1.5,Mortality,497009,All Races,Female,Oral Cavity and Pharynx,2011,1.8
Montana,1,Mortality,499969,All Races,Female,Oral Cavity and Pharynx,2012,1.4
Montana,1,Mortality,504489,All Races,Female,Oral Cavity and Pharynx,2013,1.4
Montana,1.7,Mortality,508360,All Races,Female,Oral Cavity and Pharynx,2014,2.4
Montana,0.8,Mortality,512294,All Races,Female,Oral Cavity and Pharynx,2015,1.2
Montana,1.2,Mortality,517417,All Races,Female,Oral Cavity and Pharynx,2016,1.9
Montana,2.1,Mortality,523400,All Races,Female,Oral Cavity and Pharynx,2017,2.9
Montana,1.5,Mortality,527421,All Races,Female,Oral Cavity and Pharynx,2018,2.1
Montana,1.6,Mortality,531486,All Races,Female,Oral Cavity and Pharynx,2019,2.4
Montana,2.8,Mortality,536476,All Races,Female,Oral Cavity and Pharynx,2020,4.1
Nebraska,1.6,Mortality,926785,All Races,Female,Oral Cavity and Pharynx,2011,2.2
Nebraska,1.3,Mortality,932548,All Races,Female,Oral Cavity and Pharynx,2012,1.7
Nebraska,0.6,Mortality,937543,All Races,Female,Oral Cavity and Pharynx,2013,0.9
Nebraska,1.5,Mortality,943774,All Races,Female,Oral Cavity and Pharynx,2014,1.9
Nebraska,1.4,Mortality,949042,All Races,Female,Oral Cavity and Pharynx,2015,2
Nebraska,2,Mortality,955739,All Races,Female,Oral Cavity and Pharynx,2016,2.5
Nebraska,1.4,Mortality,960422,All Races,Female,Oral Cavity and Pharynx,2017,1.8
Nebraska,1.7,Mortality,964575,All Races,Female,Oral Cavity and Pharynx,2018,2.5
Nebraska,0.9,Mortality,967601,All Races,Female,Oral Cavity and Pharynx,2019,1.2
Nebraska,1.7,Mortality,969739,All Races,Female,Oral Cavity and Pharynx,2020,2.3
Nevada,1.1,Mortality,1345187,All Races,Female,Oral Cavity and Pharynx,2011,1.3
Nevada,1.2,Mortality,1361633,All Races,Female,Oral Cavity and Pharynx,2012,1.2
Nevada,1.9,Mortality,1379061,All Races,Female,Oral Cavity and Pharynx,2013,2
Nevada,1.4,Mortality,1401290,All Races,Female,Oral Cavity and Pharynx,2014,1.6
Nevada,1,Mortality,1427439,All Races,Female,Oral Cavity and Pharynx,2015,1.1
Nevada,1.4,Mortality,1453771,All Races,Female,Oral Cavity and Pharynx,2016,1.7
Nevada,1.1,Mortality,1480860,All Races,Female,Oral Cavity and Pharynx,2017,1.4
Nevada,1.3,Mortality,1510460,All Races,Female,Oral Cavity and Pharynx,2018,1.7
Nevada,1.3,Mortality,1541266,All Races,Female,Oral Cavity and Pharynx,2019,1.7
Nevada,1.7,Mortality,1565619,All Races,Female,Oral Cavity and Pharynx,2020,2.1
New Hampshire,0.8,Mortality,668935,All Races,Female,Oral Cavity and Pharynx,2011,1
New Hampshire,1.6,Mortality,670911,All Races,Female,Oral Cavity and Pharynx,2012,1.8
New Hampshire,0.9,Mortality,671812,All Races,Female,Oral Cavity and Pharynx,2013,1
New Hampshire,1.4,Mortality,674573,All Races,Female,Oral Cavity and Pharynx,2014,2.1
New Hampshire,1.2,Mortality,675463,All Races,Female,Oral Cavity and Pharynx,2015,1.6
New Hampshire,1.5,Mortality,678325,All Races,Female,Oral Cavity and Pharynx,2016,2.2
New Hampshire,1.2,Mortality,681670,All Races,Female,Oral Cavity and Pharynx,2017,1.6
New Hampshire,0.5,Mortality,683488,All Races,Female,Oral Cavity and Pharynx,2018,1
New Hampshire,1.4,Mortality,686814,All Races,Female,Oral Cavity and Pharynx,2019,2
New Hampshire,1.5,Mortality,689281,All Races,Female,Oral Cavity and Pharynx,2020,2.5
New Jersey,0.9,Mortality,4527643,All Races,Female,Oral Cavity and Pharynx,2011,1.1
New Jersey,1.1,Mortality,4534588,All Races,Female,Oral Cavity and Pharynx,2012,1.5
New Jersey,1.1,Mortality,4538378,All Races,Female,Oral Cavity and Pharynx,2013,1.4
New Jersey,0.9,Mortality,4541269,All Races,Female,Oral Cavity and Pharynx,2014,1.3
New Jersey,1,Mortality,4542433,All Races,Female,Oral Cavity and Pharynx,2015,1.4
New Jersey,1.2,Mortality,4541709,All Races,Female,Oral Cavity and Pharynx,2016,1.7
New Jersey,1,Mortality,4547537,All Races,Female,Oral Cavity and Pharynx,2017,1.4
New Jersey,1.1,Mortality,4547534,All Races,Female,Oral Cavity and Pharynx,2018,1.6
New Jersey,1.3,Mortality,4545698,All Races,Female,Oral Cavity and Pharynx,2019,1.8
New Jersey,0.8,Mortality,4539322,All Races,Female,Oral Cavity and Pharynx,2020,1.2
Mississippi,0,Mortality,35256,Hispanic of any race,Female,Oral Cavity and Pharynx,2011,0
Mississippi,0,Mortality,35818,Hispanic of any race,Female,Oral Cavity and Pharynx,2012,0
Mississippi,0,Mortality,37033,Hispanic of any race,Female,Oral Cavity and Pharynx,2013,0
Mississippi,0,Mortality,38406,Hispanic of any race,Female,Oral Cavity and Pharynx,2014,0
Mississippi,0,Mortality,39674,Hispanic of any race,Female,Oral Cavity and Pharynx,2015,0
Mississippi,0,Mortality,40799,Hispanic of any race,Female,Oral Cavity and Pharynx,2016,0
Mississippi,0,Mortality,42106,Hispanic of any race,Female,Oral Cavity and Pharynx,2017,0
Mississippi,0,Mortality,43212,Hispanic of any race,Female,Oral Cavity and Pharynx,2018,0
Mississippi,5.4,Mortality,44101,Hispanic of any race,Female,Oral Cavity and Pharynx,2019,2.3
Mississippi,0,Mortality,44894,Hispanic of any race,Female,Oral Cavity and Pharynx,2020,0
Missouri,2.2,Mortality,105271,Hispanic of any race,Female,Oral Cavity and Pharynx,2011,0.9
Missouri,0,Mortality,108061,Hispanic of any race,Female,Oral Cavity and Pharynx,2012,0
Missouri,0,Mortality,110751,Hispanic of any race,Female,Oral Cavity and Pharynx,2013,0
Missouri,1.6,Mortality,113789,Hispanic of any race,Female,Oral Cavity and Pharynx,2014,0.9
Missouri,1.3,Mortality,116827,Hispanic of any race,Female,Oral Cavity and Pharynx,2015,0.9
Missouri,0,Mortality,120127,Hispanic of any race,Female,Oral Cavity and Pharynx,2016,0
Missouri,0,Mortality,123650,Hispanic of any race,Female,Oral Cavity and Pharynx,2017,0
Missouri,2.1,Mortality,127266,Hispanic of any race,Female,Oral Cavity and Pharynx,2018,0.8
Missouri,1.3,Mortality,130727,Hispanic of any race,Female,Oral Cavity and Pharynx,2019,0.8
Missouri,0,Mortality,133900,Hispanic of any race,Female,Oral Cavity and Pharynx,2020,0
Montana,0,Mortality,14992,Hispanic of any race,Female,Oral Cavity and Pharynx,2011,0
Montana,0,Mortality,15840,Hispanic of any race,Female,Oral Cavity and Pharynx,2012,0
Montana,0,Mortality,16539,Hispanic of any race,Female,Oral Cavity and Pharynx,2013,0
Montana,0,Mortality,17320,Hispanic of any race,Female,Oral Cavity and Pharynx,2014,0
Montana,0,Mortality,18105,Hispanic of any race,Female,Oral Cavity and Pharynx,2015,0
Montana,0,Mortality,18817,Hispanic of any race,Female,Oral Cavity and Pharynx,2016,0
Montana,0,Mortality,19864,Hispanic of any race,Female,Oral Cavity and Pharynx,2017,0
Montana,0,Mortality,20619,Hispanic of any race,Female,Oral Cavity and Pharynx,2018,0
Montana,5.1,Mortality,21250,Hispanic of any race,Female,Oral Cavity and Pharynx,2019,4.7
Montana,5.7,Mortality,22036,Hispanic of any race,Female,Oral Cavity and Pharynx,2020,4.5
Nebraska,0,Mortality,82779,Hispanic of any race,Female,Oral Cavity and Pharynx,2011,0
Nebraska,0,Mortality,85535,Hispanic of any race,Female,Oral Cavity and Pharynx,2012,0
Nebraska,0,Mortality,88669,Hispanic of any race,Female,Oral Cavity and Pharynx,2013,0
Nebraska,0,Mortality,91005,Hispanic of any race,Female,Oral Cavity and Pharynx,2014,0
Nebraska,0,Mortality,93757,Hispanic of any race,Female,Oral Cavity and Pharynx,2015,0
Nebraska,0,Mortality,96953,Hispanic of any race,Female,Oral Cavity and Pharynx,2016,0
Nebraska,0,Mortality,100391,Hispanic of any race,Female,Oral Cavity and Pharynx,2017,0
Nebraska,0,Mortality,103375,Hispanic of any race,Female,Oral Cavity and Pharynx,2018,0
Nebraska,3.7,Mortality,106006,Hispanic of any race,Female,Oral Cavity and Pharynx,2019,0.9
Nebraska,0,Mortality,108311,Hispanic of any race,Female,Oral Cavity and Pharynx,2020,0
Nevada,0.4,Mortality,357200,Hispanic of any race,Female,Oral Cavity and Pharynx,2011,0.3
Nevada,0,Mortality,365053,Hispanic of any race,Female,Oral Cavity and Pharynx,2012,0
Nevada,0.9,Mortality,374211,Hispanic of any race,Female,Oral Cavity and Pharynx,2013,0.3
Nevada,0.3,Mortality,383920,Hispanic of any race,Female,Oral Cavity and Pharynx,2014,0.3
Nevada,0.5,Mortality,396172,Hispanic of any race,Female,Oral Cavity and Pharynx,2015,0.3
Nevada,0.6,Mortality,407614,Hispanic of any race,Female,Oral Cavity and Pharynx,2016,0.2
Nevada,0,Mortality,419027,Hispanic of any race,Female,Oral Cavity and Pharynx,2017,0
Nevada,0.5,Mortality,431678,Hispanic of any race,Female,Oral Cavity and Pharynx,2018,0.5
Nevada,0.5,Mortality,444932,Hispanic of any race,Female,Oral Cavity and Pharynx,2019,0.2
Nevada,0.5,Mortality,456401,Hispanic of any race,Female,Oral Cavity and Pharynx,2020,0.4
New Hampshire,0,Mortality,19207,Hispanic of any race,Female,Oral Cavity and Pharynx,2011,0
New Hampshire,0,Mortality,19973,Hispanic of any race,Female,Oral Cavity and Pharynx,2012,0
New Hampshire,0,Mortality,20645,Hispanic of any race,Female,Oral Cavity and Pharynx,2013,0
New Hampshire,0,Mortality,21456,Hispanic of any race,Female,Oral Cavity and Pharynx,2014,0
New Hampshire,17.4,Mortality,22388,Hispanic of any race,Female,Oral Cavity and Pharynx,2015,8.9
New Hampshire,0,Mortality,23450,Hispanic of any race,Female,Oral Cavity and Pharynx,2016,0
New Hampshire,0,Mortality,24571,Hispanic of any race,Female,Oral Cavity and Pharynx,2017,0
New Hampshire,0,Mortality,25494,Hispanic of any race,Female,Oral Cavity and Pharynx,2018,0
New Hampshire,0,Mortality,26525,Hispanic of any race,Female,Oral Cavity and Pharynx,2019,0
New Hampshire,0,Mortality,27608,Hispanic of any race,Female,Oral Cavity and Pharynx,2020,0
Minnesota,2.8,Mortality,32675,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,3.1
Minnesota,6.9,Mortality,32904,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,3
Minnesota,6.6,Mortality,33402,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,3
Minnesota,11.8,Mortality,33557,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,6
Minnesota,13.7,Mortality,33722,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,5.9
Minnesota,0,Mortality,33932,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,0
Minnesota,6.4,Mortality,34141,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,5.9
Minnesota,0,Mortality,34356,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,0
Minnesota,2.5,Mortality,34491,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,2.9
Minnesota,6.5,Mortality,34652,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2020,5.8
Mississippi,0,Mortality,7547,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,0
Mississippi,0,Mortality,7714,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,0
Mississippi,0,Mortality,7718,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,0
Mississippi,0,Mortality,7793,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,0
Mississippi,0,Mortality,7810,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,0
Mississippi,0,Mortality,7815,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,0
Mississippi,0,Mortality,7856,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,0
Mississippi,0,Mortality,7923,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,0
Mississippi,0,Mortality,7985,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,0
Mississippi,0,Mortality,8028,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2020,0
Missouri,0,Mortality,15675,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,0
Missouri,0,Mortality,15808,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,0
Missouri,0,Mortality,15837,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,0
Missouri,0,Mortality,16021,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,0
Missouri,0,Mortality,16274,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,0
Missouri,0,Mortality,16426,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,0
Missouri,0,Mortality,16551,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,0
Missouri,0,Mortality,16780,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,0
Missouri,0,Mortality,16994,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,0
Missouri,0,Mortality,17115,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2020,0
Montana,0,Mortality,33216,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,0
Montana,0,Mortality,33554,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,0
Montana,0,Mortality,33998,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,0
Montana,3,Mortality,34307,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,2.9
Montana,3.1,Mortality,34504,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,2.9
Montana,0,Mortality,34816,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,0
Montana,10.4,Mortality,35261,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,5.7
Montana,0,Mortality,35411,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,0
Montana,0,Mortality,35542,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,0
Montana,0,Mortality,35780,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2020,0
Nebraska,33.3,Mortality,8457,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,11.8
Nebraska,0,Mortality,8439,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,0
Nebraska,0,Mortality,8465,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,0
Nebraska,0,Mortality,8654,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,0
Nebraska,0,Mortality,8738,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,0
Nebraska,32.9,Mortality,8851,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,11.3
Nebraska,0,Mortality,8955,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,0
Nebraska,0,Mortality,9021,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,0
Nebraska,0,Mortality,9048,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,0
Nebraska,0,Mortality,9147,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2020,0
Nevada,0,Mortality,14047,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,0
Nevada,0,Mortality,14222,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,0
Nevada,0,Mortality,14324,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,0
Nevada,0,Mortality,14588,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,0
Nevada,0,Mortality,14746,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,0
Nevada,0,Mortality,14941,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,0
Nevada,0,Mortality,15253,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,0
Nevada,0,Mortality,15512,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,0
Nevada,7,Mortality,15699,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,6.4
Nevada,0,Mortality,15879,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2020,0
New Hampshire,0,Mortality,1783,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,0
New Hampshire,0,Mortality,1762,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,0
New Hampshire,0,Mortality,1771,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,0
New Hampshire,0,Mortality,1783,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,0
New Hampshire,0,Mortality,1787,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,0
New Hampshire,0,Mortality,1806,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,0
New Hampshire,0,Mortality,1800,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,0
New Hampshire,0,Mortality,1824,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,0
New Hampshire,0,Mortality,1824,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,0
New Hampshire,0,Mortality,1865,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2020,0
Minnesota,0,Mortality,123023,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2011,0
Minnesota,3.2,Mortality,127492,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2012,1.6
Minnesota,3.8,Mortality,131919,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2013,2.3
Minnesota,2,Mortality,136948,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2014,1.5
Minnesota,1.9,Mortality,141503,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2015,0.7
Minnesota,2.8,Mortality,146572,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2016,1.4
Minnesota,0,Mortality,151002,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2017,0
Minnesota,2.5,Mortality,154927,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2018,1.9
Minnesota,3.2,Mortality,158426,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2019,1.9
Minnesota,1.9,Mortality,161114,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2020,1.2
Mississippi,0,Mortality,15840,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2011,0
Mississippi,0,Mortality,16099,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2012,0
Mississippi,0,Mortality,16773,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2013,0
Mississippi,0,Mortality,17245,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2014,0
Mississippi,0,Mortality,17779,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2015,0
Mississippi,0,Mortality,17905,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2016,0
