AGE,COUNT,EVENT_TYPE,POPULATION,RACE,Non-Hispanic Race,RATE,SEX,SITE,YEAR
15-19,57,Incidence,10335334,All Other Races,All Races,0.6,Female,Oral Cavity and Pharynx,2016
20-24,65,Incidence,10880883,All Other Races,All Races,0.6,Female,Oral Cavity and Pharynx,2016
25-29,112,Incidence,11271329,All Other Races,All Races,1,Female,Oral Cavity and Pharynx,2016
30-34,195,Incidence,10837503,All Other Races,All Races,1.8,Female,Oral Cavity and Pharynx,2016
35-39,252,Incidence,10399494,All Other Races,All Races,2.4,Female,Oral Cavity and Pharynx,2016
40-44,390,Incidence,9910118,All Other Races,All Races,3.9,Female,Oral Cavity and Pharynx,2016
45-49,637,Incidence,10550885,All Other Races,All Races,6,Female,Oral Cavity and Pharynx,2016
5-9,~,Incidence,10008005,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2016
50-54,1150,Incidence,11087512,All Other Races,All Races,10.4,Female,Oral Cavity and Pharynx,2016
55-59,1715,Incidence,11276769,All Other Races,All Races,15.2,Female,Oral Cavity and Pharynx,2016
60-64,1857,Incidence,10153415,All Other Races,All Races,18.3,Female,Oral Cavity and Pharynx,2016
65-69,1858,Incidence,8874413,All Other Races,All Races,20.9,Female,Oral Cavity and Pharynx,2016
70-74,1614,Incidence,6347009,All Other Races,All Races,25.4,Female,Oral Cavity and Pharynx,2016
75-79,1223,Incidence,4642235,All Other Races,All Races,26.3,Female,Oral Cavity and Pharynx,2016
80-84,939,Incidence,3415481,All Other Races,All Races,27.5,Female,Oral Cavity and Pharynx,2016
85+,1229,Incidence,4148383,All Other Races,All Races,29.6,Female,Oral Cavity and Pharynx,2016
<1,~,Incidence,1937196,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2016
1-4,~,Incidence,7825088,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2017
10-14,30,Incidence,10174304,All Other Races,All Races,0.3,Female,Oral Cavity and Pharynx,2017
15-19,60,Incidence,10322453,All Other Races,All Races,0.6,Female,Oral Cavity and Pharynx,2017
20-24,63,Incidence,10747498,All Other Races,All Races,0.6,Female,Oral Cavity and Pharynx,2017
25-29,133,Incidence,11463708,All Other Races,All Races,1.2,Female,Oral Cavity and Pharynx,2017
30-34,183,Incidence,10877130,All Other Races,All Races,1.7,Female,Oral Cavity and Pharynx,2017
35-39,291,Incidence,10594335,All Other Races,All Races,2.7,Female,Oral Cavity and Pharynx,2017
40-44,358,Incidence,9857600,All Other Races,All Races,3.6,Female,Oral Cavity and Pharynx,2017
45-49,664,Incidence,10547318,All Other Races,All Races,6.3,Female,Oral Cavity and Pharynx,2017
5-9,~,Incidence,9948106,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2017
50-54,1103,Incidence,10844299,All Other Races,All Races,10.2,Female,Oral Cavity and Pharynx,2017
55-59,1677,Incidence,11274831,All Other Races,All Races,14.9,Female,Oral Cavity and Pharynx,2017
1-4,~,Incidence,2018152,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2011
10-14,~,Incidence,2265435,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2011
15-19,~,Incidence,2209027,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2011
20-24,~,Incidence,2096163,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2011
25-29,~,Incidence,2046143,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2011
30-34,18,Incidence,2024726,Hispanic of any race,Hispanic of any race,0.9,Female,Oral Cavity and Pharynx,2011
35-39,34,Incidence,1915984,Hispanic of any race,Hispanic of any race,1.8,Female,Oral Cavity and Pharynx,2011
40-44,35,Incidence,1744143,Hispanic of any race,Hispanic of any race,2,Female,Oral Cavity and Pharynx,2011
45-49,64,Incidence,1545470,Hispanic of any race,Hispanic of any race,4.1,Female,Oral Cavity and Pharynx,2011
5-9,~,Incidence,2402712,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2011
50-54,60,Incidence,1294741,Hispanic of any race,Hispanic of any race,4.6,Female,Oral Cavity and Pharynx,2011
55-59,68,Incidence,1017252,Hispanic of any race,Hispanic of any race,6.7,Female,Oral Cavity and Pharynx,2011
60-64,70,Incidence,781826,Hispanic of any race,Hispanic of any race,9,Female,Oral Cavity and Pharynx,2011
65-69,61,Incidence,556231,Hispanic of any race,Hispanic of any race,11,Female,Oral Cavity and Pharynx,2011
70-74,68,Incidence,414154,Hispanic of any race,Hispanic of any race,16.4,Female,Oral Cavity and Pharynx,2011
75-79,63,Incidence,311440,Hispanic of any race,Hispanic of any race,20.2,Female,Oral Cavity and Pharynx,2011
80-84,53,Incidence,226088,Hispanic of any race,Hispanic of any race,23.4,Female,Oral Cavity and Pharynx,2011
85+,63,Incidence,193682,Hispanic of any race,Hispanic of any race,32.5,Female,Oral Cavity and Pharynx,2011
<1,~,Incidence,495168,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2011
1-4,~,Incidence,2009644,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2012
10-14,~,Incidence,2303106,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2012
15-19,~,Incidence,2217196,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2012
20-24,~,Incidence,2164061,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2012
25-29,24,Incidence,2049585,Hispanic of any race,Hispanic of any race,1.2,Female,Oral Cavity and Pharynx,2012
30-34,~,Incidence,2058025,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2012
35-39,23,Incidence,1943804,Hispanic of any race,Hispanic of any race,1.2,Female,Oral Cavity and Pharynx,2012
40-44,41,Incidence,1796195,Hispanic of any race,Hispanic of any race,2.3,Female,Oral Cavity and Pharynx,2012
45-49,53,Incidence,1579923,Hispanic of any race,Hispanic of any race,3.4,Female,Oral Cavity and Pharynx,2012
5-9,~,Incidence,2460875,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2012
50-54,81,Incidence,1344727,Hispanic of any race,Hispanic of any race,6,Female,Oral Cavity and Pharynx,2012
55-59,86,Incidence,1074497,Hispanic of any race,Hispanic of any race,8,Female,Oral Cavity and Pharynx,2012
60-64,79,Incidence,814203,Hispanic of any race,Hispanic of any race,9.7,Female,Oral Cavity and Pharynx,2012
65-69,83,Incidence,598413,Hispanic of any race,Hispanic of any race,13.9,Female,Oral Cavity and Pharynx,2012
70-74,76,Incidence,432137,Hispanic of any race,Hispanic of any race,17.6,Female,Oral Cavity and Pharynx,2012
75-79,57,Incidence,323890,Hispanic of any race,Hispanic of any race,17.6,Female,Oral Cavity and Pharynx,2012
80-84,44,Incidence,235837,Hispanic of any race,Hispanic of any race,18.7,Female,Oral Cavity and Pharynx,2012
85+,44,Incidence,208088,Hispanic of any race,Hispanic of any race,21.1,Female,Oral Cavity and Pharynx,2012
<1,~,Incidence,484250,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2012
1-4,~,Incidence,1989839,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2013
10-14,~,Incidence,2343735,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2013
15-19,~,Incidence,2234522,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2013
20-24,~,Incidence,2220436,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2013
25-29,17,Incidence,2062042,Hispanic of any race,Hispanic of any race,0.8,Female,Oral Cavity and Pharynx,2013
30-34,30,Incidence,2087978,Hispanic of any race,Hispanic of any race,1.4,Female,Oral Cavity and Pharynx,2013
35-39,36,Incidence,1969333,Hispanic of any race,Hispanic of any race,1.8,Female,Oral Cavity and Pharynx,2013
40-44,31,Incidence,1840901,Hispanic of any race,Hispanic of any race,1.7,Female,Oral Cavity and Pharynx,2013
45-49,50,Incidence,1614723,Hispanic of any race,Hispanic of any race,3.1,Female,Oral Cavity and Pharynx,2013
5-9,~,Incidence,2511232,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2013
50-54,76,Incidence,1398465,Hispanic of any race,Hispanic of any race,5.4,Female,Oral Cavity and Pharynx,2013
55-59,81,Incidence,1125160,Hispanic of any race,Hispanic of any race,7.2,Female,Oral Cavity and Pharynx,2013
60-64,94,Incidence,853676,Hispanic of any race,Hispanic of any race,11,Female,Oral Cavity and Pharynx,2013
65-69,92,Incidence,636453,Hispanic of any race,Hispanic of any race,14.5,Female,Oral Cavity and Pharynx,2013
70-74,82,Incidence,455673,Hispanic of any race,Hispanic of any race,18,Female,Oral Cavity and Pharynx,2013
75-79,55,Incidence,338997,Hispanic of any race,Hispanic of any race,16.2,Female,Oral Cavity and Pharynx,2013
80-84,53,Incidence,243703,Hispanic of any race,Hispanic of any race,21.7,Female,Oral Cavity and Pharynx,2013
85+,42,Incidence,223033,Hispanic of any race,Hispanic of any race,18.8,Female,Oral Cavity and Pharynx,2013
<1,~,Incidence,482504,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2013
1-4,~,Incidence,1982703,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2014
10-14,~,Incidence,2386214,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2014
15-19,~,Incidence,2258622,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2014
20-24,~,Incidence,2273456,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2014
25-29,21,Incidence,2089948,Hispanic of any race,Hispanic of any race,1,Female,Oral Cavity and Pharynx,2014
30-34,25,Incidence,2109318,Hispanic of any race,Hispanic of any race,1.2,Female,Oral Cavity and Pharynx,2014
35-39,35,Incidence,1994123,Hispanic of any race,Hispanic of any race,1.8,Female,Oral Cavity and Pharynx,2014
40-44,40,Incidence,1881642,Hispanic of any race,Hispanic of any race,2.1,Female,Oral Cavity and Pharynx,2014
45-49,66,Incidence,1645566,Hispanic of any race,Hispanic of any race,4,Female,Oral Cavity and Pharynx,2014
5-9,~,Incidence,2538822,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2014
50-54,103,Incidence,1453222,Hispanic of any race,Hispanic of any race,7.1,Female,Oral Cavity and Pharynx,2014
55-59,96,Incidence,1174991,Hispanic of any race,Hispanic of any race,8.2,Female,Oral Cavity and Pharynx,2014
60-64,91,Incidence,900315,Hispanic of any race,Hispanic of any race,10.1,Female,Oral Cavity and Pharynx,2014
65-69,91,Incidence,676247,Hispanic of any race,Hispanic of any race,13.5,Female,Oral Cavity and Pharynx,2014
70-74,88,Incidence,479752,Hispanic of any race,Hispanic of any race,18.3,Female,Oral Cavity and Pharynx,2014
75-79,68,Incidence,354929,Hispanic of any race,Hispanic of any race,19.2,Female,Oral Cavity and Pharynx,2014
80-84,46,Incidence,251790,Hispanic of any race,Hispanic of any race,18.3,Female,Oral Cavity and Pharynx,2014
85+,73,Incidence,239202,Hispanic of any race,Hispanic of any race,30.5,Female,Oral Cavity and Pharynx,2014
<1,~,Incidence,485097,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2014
1-4,~,Incidence,1973257,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2015
10-14,~,Incidence,2424048,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2015
15-19,~,Incidence,2301026,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2015
20-24,~,Incidence,2300659,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2015
25-29,23,Incidence,2138009,Hispanic of any race,Hispanic of any race,1.1,Female,Oral Cavity and Pharynx,2015
30-34,29,Incidence,2115268,Hispanic of any race,Hispanic of any race,1.4,Female,Oral Cavity and Pharynx,2015
35-39,33,Incidence,2036340,Hispanic of any race,Hispanic of any race,1.6,Female,Oral Cavity and Pharynx,2015
40-44,59,Incidence,1914388,Hispanic of any race,Hispanic of any race,3.1,Female,Oral Cavity and Pharynx,2015
45-49,57,Incidence,1691876,Hispanic of any race,Hispanic of any race,3.4,Female,Oral Cavity and Pharynx,2015
5-9,~,Incidence,2562772,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2015
50-54,82,Incidence,1496958,Hispanic of any race,Hispanic of any race,5.5,Female,Oral Cavity and Pharynx,2015
55-59,98,Incidence,1229972,Hispanic of any race,Hispanic of any race,8,Female,Oral Cavity and Pharynx,2015
60-64,85,Incidence,950537,Hispanic of any race,Hispanic of any race,8.9,Female,Oral Cavity and Pharynx,2015
65-69,83,Incidence,721054,Hispanic of any race,Hispanic of any race,11.5,Female,Oral Cavity and Pharynx,2015
70-74,96,Incidence,505849,Hispanic of any race,Hispanic of any race,19,Female,Oral Cavity and Pharynx,2015
75-79,85,Incidence,369846,Hispanic of any race,Hispanic of any race,23,Female,Oral Cavity and Pharynx,2015
80-84,60,Incidence,261701,Hispanic of any race,Hispanic of any race,22.9,Female,Oral Cavity and Pharynx,2015
85+,66,Incidence,257522,Hispanic of any race,Hispanic of any race,25.6,Female,Oral Cavity and Pharynx,2015
<1,~,Incidence,493930,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2015
1-4,~,Incidence,1975266,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2016
10-14,~,Incidence,2472211,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2016
15-19,~,Incidence,2349375,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2016
20-24,~,Incidence,2315935,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2016
25-29,~,Incidence,2201631,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2016
20-24,~,Mortality,695230,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
25-29,~,Mortality,875285,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
30-34,~,Mortality,900572,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
35-39,~,Mortality,864306,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
40-44,~,Mortality,813371,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
45-49,~,Mortality,765816,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
5-9,~,Mortality,605918,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
50-54,~,Mortality,665771,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
55-59,~,Mortality,611927,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
60-64,~,Mortality,555791,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
65-69,~,Mortality,466246,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
70-74,~,Mortality,323999,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
75-79,~,Mortality,225679,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
80-84,~,Mortality,153659,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
85+,21,Mortality,167438,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,12.5,Female,Oral Cavity and Pharynx,2017
<1,~,Mortality,123767,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2017
1-4,~,Mortality,511957,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
10-14,~,Mortality,608247,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
15-19,~,Mortality,617288,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
20-24,~,Mortality,694099,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
25-29,~,Mortality,874733,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
30-34,~,Mortality,912905,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
35-39,~,Mortality,892855,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
40-44,~,Mortality,818783,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
45-49,~,Mortality,788237,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
5-9,~,Mortality,619052,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
50-54,~,Mortality,674045,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
55-59,~,Mortality,627378,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
60-64,21,Mortality,571786,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,3.7,Female,Oral Cavity and Pharynx,2018
65-69,17,Mortality,483342,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,3.5,Female,Oral Cavity and Pharynx,2018
70-74,~,Mortality,351978,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
75-79,~,Mortality,237702,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
80-84,~,Mortality,161351,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
85+,21,Mortality,179297,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,11.7,Female,Oral Cavity and Pharynx,2018
<1,~,Mortality,119356,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2018
1-4,~,Mortality,512646,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
10-14,~,Mortality,607909,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
15-19,~,Mortality,631053,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
20-24,~,Mortality,691382,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
25-29,~,Mortality,863651,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
30-34,~,Mortality,929798,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
35-39,~,Mortality,914876,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
40-44,~,Mortality,829460,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
45-49,~,Mortality,803255,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
5-9,~,Mortality,633760,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
50-54,~,Mortality,686729,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
55-59,16,Mortality,643949,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,2.5,Female,Oral Cavity and Pharynx,2019
60-64,~,Mortality,583095,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
65-69,18,Mortality,499473,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,3.6,Female,Oral Cavity and Pharynx,2019
70-74,19,Mortality,380397,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,5,Female,Oral Cavity and Pharynx,2019
75-79,~,Mortality,252362,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
80-84,~,Mortality,170172,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
85+,30,Mortality,190297,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,15.8,Female,Oral Cavity and Pharynx,2019
<1,~,Mortality,116441,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2019
1-4,~,Mortality,504896,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2020
10-14,~,Mortality,609551,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2020
15-19,~,Mortality,636316,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2020
20-24,~,Mortality,689362,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2020
25-29,~,Mortality,844206,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2020
30-34,~,Mortality,942582,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2020
35-39,~,Mortality,929137,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2020
40-44,~,Mortality,845198,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2020
45-49,~,Mortality,812019,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2020
5-9,~,Mortality,647498,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2020
50-54,~,Mortality,711317,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2020
55-59,16,Mortality,649466,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,2.5,Female,Oral Cavity and Pharynx,2020
60-64,19,Mortality,594831,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,3.2,Female,Oral Cavity and Pharynx,2020
65-69,19,Mortality,514189,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,3.7,Female,Oral Cavity and Pharynx,2020
70-74,~,Mortality,411184,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2020
75-79,19,Mortality,267355,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,7.1,Female,Oral Cavity and Pharynx,2020
80-84,16,Mortality,180027,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,8.9,Female,Oral Cavity and Pharynx,2020
85+,24,Mortality,201481,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,11.9,Female,Oral Cavity and Pharynx,2020
<1,~,Mortality,116107,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2020
1-4,~,Mortality,1207522,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2017
10-14,~,Mortality,1521320,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2017
15-19,~,Mortality,1572675,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2017
20-24,~,Mortality,1676736,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2017
25-29,~,Mortality,1772270,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2017
30-34,~,Mortality,1520047,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2017
35-39,~,Mortality,1472945,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2017
40-44,~,Mortality,1348663,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2017
45-49,~,Mortality,1410329,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2017
5-9,~,Mortality,1530576,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2017
50-54,27,Mortality,1428975,Non-Hispanic,Non-Hispanic Black,1.9,Female,Oral Cavity and Pharynx,2017
55-59,33,Mortality,1418540,Non-Hispanic,Non-Hispanic Black,2.3,Female,Oral Cavity and Pharynx,2017
60-64,35,Mortality,1236441,Non-Hispanic,Non-Hispanic Black,2.8,Female,Oral Cavity and Pharynx,2017
65-69,45,Mortality,976046,Non-Hispanic,Non-Hispanic Black,4.6,Female,Oral Cavity and Pharynx,2017
70-74,33,Mortality,667206,Non-Hispanic,Non-Hispanic Black,4.9,Female,Oral Cavity and Pharynx,2017
75-79,21,Mortality,464287,Non-Hispanic,Non-Hispanic Black,4.5,Female,Oral Cavity and Pharynx,2017
80-84,24,Mortality,324047,Non-Hispanic,Non-Hispanic Black,7.4,Female,Oral Cavity and Pharynx,2017
85+,30,Mortality,340994,Non-Hispanic,Non-Hispanic Black,8.8,Female,Oral Cavity and Pharynx,2017
<1,~,Mortality,296582,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2017
1-4,~,Mortality,1206480,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2018
10-14,~,Mortality,1543190,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2018
15-19,~,Mortality,1559290,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2018
20-24,~,Mortality,1643876,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2018
25-29,~,Mortality,1810063,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2018
30-34,~,Mortality,1550474,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2018
35-39,~,Mortality,1494762,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2018
40-44,~,Mortality,1354332,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2018
45-49,~,Mortality,1407441,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2018
5-9,~,Mortality,1520898,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2018
50-54,24,Mortality,1405660,Non-Hispanic,Non-Hispanic Black,1.7,Female,Oral Cavity and Pharynx,2018
55-59,45,Mortality,1426227,Non-Hispanic,Non-Hispanic Black,3.2,Female,Oral Cavity and Pharynx,2018
60-64,44,Mortality,1271979,Non-Hispanic,Non-Hispanic Black,3.5,Female,Oral Cavity and Pharynx,2018
65-69,41,Mortality,1007184,Non-Hispanic,Non-Hispanic Black,4.1,Female,Oral Cavity and Pharynx,2018
70-74,31,Mortality,708328,Non-Hispanic,Non-Hispanic Black,4.4,Female,Oral Cavity and Pharynx,2018
75-79,23,Mortality,486876,Non-Hispanic,Non-Hispanic Black,4.7,Female,Oral Cavity and Pharynx,2018
80-84,24,Mortality,332770,Non-Hispanic,Non-Hispanic Black,7.2,Female,Oral Cavity and Pharynx,2018
85+,32,Mortality,350724,Non-Hispanic,Non-Hispanic Black,9.1,Female,Oral Cavity and Pharynx,2018
<1,~,Mortality,297962,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2018
1-4,~,Mortality,1204584,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2019
10-14,~,Mortality,1553236,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2019
